"id","canton_id","date","total","created_at","updated_at"
"510","5","2020-04-11","6","2020-10-27 09:01:07","2020-10-27 09:01:07"
"511","6","2020-04-11","0","2020-10-27 09:01:07","2020-10-27 09:01:07"
"512","7","2020-04-11","0","2020-10-27 09:01:07","2020-10-27 09:01:07"
"513","8","2020-04-11","8","2020-10-27 09:01:07","2020-10-27 09:01:07"
"514","9","2020-04-11","5","2020-10-27 09:01:07","2020-10-27 09:01:07"
"515","10","2020-04-11","1","2020-10-27 09:01:07","2020-10-27 09:01:07"
"516","11","2020-04-11","3","2020-10-27 09:01:07","2020-10-27 09:01:07"
"517","0","2020-04-11","25","2020-10-27 09:01:07","2020-10-27 09:01:07"
"518","2","2020-04-12","4","2020-10-27 09:01:07","2020-10-27 09:01:07"
"519","3","2020-04-12","0","2020-10-27 09:01:07","2020-10-27 09:01:07"
"520","4","2020-04-12","1","2020-10-27 09:01:07","2020-10-27 09:01:07"
"521","5","2020-04-12","14","2020-10-27 09:01:07","2020-10-27 09:01:07"
"522","6","2020-04-12","2","2020-10-27 09:01:07","2020-10-27 09:01:07"
"523","7","2020-04-12","1","2020-10-27 09:01:07","2020-10-27 09:01:07"
"524","8","2020-04-12","8","2020-10-27 09:01:08","2020-10-27 09:01:08"
"525","9","2020-04-12","0","2020-10-27 09:01:08","2020-10-27 09:01:08"
"526","10","2020-04-12","3","2020-10-27 09:01:08","2020-10-27 09:01:08"
"527","11","2020-04-12","3","2020-10-27 09:01:08","2020-10-27 09:01:08"
"528","0","2020-04-12","36","2020-10-27 09:01:08","2020-10-27 09:01:08"
"529","2","2020-04-13","4","2020-10-27 09:01:08","2020-10-27 09:01:08"
"530","3","2020-04-13","0","2020-10-27 09:01:08","2020-10-27 09:01:08"
"531","4","2020-04-13","0","2020-10-27 09:01:08","2020-10-27 09:01:08"
"532","5","2020-04-13","5","2020-10-27 09:01:08","2020-10-27 09:01:08"
"533","6","2020-04-13","1","2020-10-27 09:01:08","2020-10-27 09:01:08"
"534","7","2020-04-13","3","2020-10-27 09:01:08","2020-10-27 09:01:08"
"535","8","2020-04-13","3","2020-10-27 09:01:08","2020-10-27 09:01:08"
"536","9","2020-04-13","0","2020-10-27 09:01:08","2020-10-27 09:01:08"
"537","10","2020-04-13","6","2020-10-27 09:01:09","2020-10-27 09:01:09"
"538","11","2020-04-13","0","2020-10-27 09:01:09","2020-10-27 09:01:09"
"539","0","2020-04-13","22","2020-10-27 09:01:09","2020-10-27 09:01:09"
"540","2","2020-04-14","4","2020-10-27 09:01:09","2020-10-27 09:01:09"
"541","3","2020-04-14","0","2020-10-27 09:01:09","2020-10-27 09:01:09"
"542","4","2020-04-14","0","2020-10-27 09:01:09","2020-10-27 09:01:09"
"543","5","2020-04-14","5","2020-10-27 09:01:09","2020-10-27 09:01:09"
"544","6","2020-04-14","2","2020-10-27 09:01:09","2020-10-27 09:01:09"
"545","7","2020-04-14","1","2020-10-27 09:01:09","2020-10-27 09:01:09"
"546","8","2020-04-14","1","2020-10-27 09:01:09","2020-10-27 09:01:09"
"547","9","2020-04-14","1","2020-10-27 09:01:09","2020-10-27 09:01:09"
"548","10","2020-04-14","7","2020-10-27 09:01:09","2020-10-27 09:01:09"
"549","11","2020-04-14","0","2020-10-27 09:01:09","2020-10-27 09:01:09"
"550","0","2020-04-14","21","2020-10-27 09:01:09","2020-10-27 09:01:09"
"551","2","2020-04-15","8","2020-10-27 09:01:10","2020-10-27 09:01:10"
"552","3","2020-04-15","0","2020-10-27 09:01:10","2020-10-27 09:01:10"
"553","4","2020-04-15","0","2020-10-27 09:01:10","2020-10-27 09:01:10"
"554","5","2020-04-15","1","2020-10-27 09:01:10","2020-10-27 09:01:10"
"555","6","2020-04-15","0","2020-10-27 09:01:10","2020-10-27 09:01:10"
"556","7","2020-04-15","0","2020-10-27 09:01:10","2020-10-27 09:01:10"
"557","8","2020-04-15","4","2020-10-27 09:01:10","2020-10-27 09:01:10"
"558","9","2020-04-15","0","2020-10-27 09:01:10","2020-10-27 09:01:10"
"559","10","2020-04-15","10","2020-10-27 09:01:10","2020-10-27 09:01:10"
"560","11","2020-04-15","4","2020-10-27 09:01:10","2020-10-27 09:01:10"
"561","0","2020-04-15","27","2020-10-27 09:01:10","2020-10-27 09:01:10"
"562","2","2020-04-16","1","2020-10-27 09:01:10","2020-10-27 09:01:10"
"563","3","2020-04-16","0","2020-10-27 09:01:10","2020-10-27 09:01:10"
"564","4","2020-04-16","0","2020-10-27 09:01:10","2020-10-27 09:01:10"
"565","5","2020-04-16","9","2020-10-27 09:01:10","2020-10-27 09:01:10"
"566","6","2020-04-16","0","2020-10-27 09:01:10","2020-10-27 09:01:10"
"567","7","2020-04-16","1","2020-10-27 09:01:11","2020-10-27 09:01:11"
"568","8","2020-04-16","4","2020-10-27 09:01:11","2020-10-27 09:01:11"
"569","9","2020-04-16","0","2020-10-27 09:01:11","2020-10-27 09:01:11"
"570","10","2020-04-16","2","2020-10-27 09:01:11","2020-10-27 09:01:11"
"571","11","2020-04-16","0","2020-10-27 09:01:11","2020-10-27 09:01:11"
"572","0","2020-04-16","17","2020-10-27 09:01:11","2020-10-27 09:01:11"
"573","2","2020-04-17","0","2020-10-27 09:01:11","2020-10-27 09:01:11"
"574","3","2020-04-17","0","2020-10-27 09:01:11","2020-10-27 09:01:11"
"575","4","2020-04-17","0","2020-10-27 09:01:11","2020-10-27 09:01:11"
"576","5","2020-04-17","15","2020-10-27 09:01:11","2020-10-27 09:01:11"
"577","6","2020-04-17","6","2020-10-27 09:01:11","2020-10-27 09:01:11"
"578","7","2020-04-17","0","2020-10-27 09:01:11","2020-10-27 09:01:11"
"579","8","2020-04-17","3","2020-10-27 09:01:12","2020-10-27 09:01:12"
"580","9","2020-04-17","5","2020-10-27 09:01:12","2020-10-27 09:01:12"
"581","10","2020-04-17","1","2020-10-27 09:01:12","2020-10-27 09:01:12"
"582","11","2020-04-17","7","2020-10-27 09:01:12","2020-10-27 09:01:12"
"583","0","2020-04-17","37","2020-10-27 09:01:12","2020-10-27 09:01:12"
"584","2","2020-04-18","1","2020-10-27 09:01:12","2020-10-27 09:01:12"
"585","3","2020-04-18","0","2020-10-27 09:01:12","2020-10-27 09:01:12"
"586","4","2020-04-18","0","2020-10-27 09:01:12","2020-10-27 09:01:12"
"587","5","2020-04-18","2","2020-10-27 09:01:12","2020-10-27 09:01:12"
"588","6","2020-04-18","0","2020-10-27 09:01:12","2020-10-27 09:01:12"
"589","7","2020-04-18","0","2020-10-27 09:01:12","2020-10-27 09:01:12"
"590","8","2020-04-18","1","2020-10-27 09:01:12","2020-10-27 09:01:12"
"591","9","2020-04-18","1","2020-10-27 09:01:12","2020-10-27 09:01:12"
"592","10","2020-04-18","4","2020-10-27 09:01:13","2020-10-27 09:01:13"
"593","11","2020-04-18","0","2020-10-27 09:01:13","2020-10-27 09:01:13"
"594","0","2020-04-18","9","2020-10-27 09:01:13","2020-10-27 09:01:13"
"595","2","2020-04-19","0","2020-10-27 09:01:13","2020-10-27 09:01:13"
"596","3","2020-04-19","0","2020-10-27 09:01:13","2020-10-27 09:01:13"
"597","4","2020-04-19","0","2020-10-27 09:01:13","2020-10-27 09:01:13"
"598","5","2020-04-19","2","2020-10-27 09:01:13","2020-10-27 09:01:13"
"599","6","2020-04-19","0","2020-10-27 09:01:13","2020-10-27 09:01:13"
"600","7","2020-04-19","0","2020-10-27 09:01:13","2020-10-27 09:01:13"
"601","8","2020-04-19","5","2020-10-27 09:01:13","2020-10-27 09:01:13"
"602","9","2020-04-19","0","2020-10-27 09:01:13","2020-10-27 09:01:13"
"603","10","2020-04-19","1","2020-10-27 09:01:14","2020-10-27 09:01:14"
"604","11","2020-04-19","0","2020-10-27 09:01:14","2020-10-27 09:01:14"
"605","0","2020-04-19","8","2020-10-27 09:01:14","2020-10-27 09:01:14"
"606","2","2020-04-20","1","2020-10-27 09:01:14","2020-10-27 09:01:14"
"607","3","2020-04-20","0","2020-10-27 09:01:14","2020-10-27 09:01:14"
"608","4","2020-04-20","0","2020-10-27 09:01:14","2020-10-27 09:01:14"
"609","5","2020-04-20","3","2020-10-27 09:01:14","2020-10-27 09:01:14"
"610","6","2020-04-20","0","2020-10-27 09:01:14","2020-10-27 09:01:14"
"611","7","2020-04-20","2","2020-10-27 09:01:14","2020-10-27 09:01:14"
"612","8","2020-04-20","4","2020-10-27 09:01:14","2020-10-27 09:01:14"
"613","9","2020-04-20","4","2020-10-27 09:01:14","2020-10-27 09:01:14"
"614","10","2020-04-20","4","2020-10-27 09:01:14","2020-10-27 09:01:14"
"615","11","2020-04-20","0","2020-10-27 09:01:14","2020-10-27 09:01:14"
"616","0","2020-04-20","18","2020-10-27 09:01:14","2020-10-27 09:01:14"
"617","2","2020-04-21","4","2020-10-27 09:01:14","2020-10-27 09:01:14"
"618","3","2020-04-21","0","2020-10-27 09:01:14","2020-10-27 09:01:14"
"619","4","2020-04-21","0","2020-10-27 09:01:14","2020-10-27 09:01:14"
"620","5","2020-04-21","2","2020-10-27 09:01:15","2020-10-27 09:01:15"
"621","6","2020-04-21","0","2020-10-27 09:01:15","2020-10-27 09:01:15"
"622","7","2020-04-21","0","2020-10-27 09:01:15","2020-10-27 09:01:15"
"623","8","2020-04-21","3","2020-10-27 09:01:15","2020-10-27 09:01:15"
"624","9","2020-04-21","2","2020-10-27 09:01:15","2020-10-27 09:01:15"
"625","10","2020-04-21","0","2020-10-27 09:01:15","2020-10-27 09:01:15"
"626","11","2020-04-21","1","2020-10-27 09:01:15","2020-10-27 09:01:15"
"627","0","2020-04-21","12","2020-10-27 09:01:15","2020-10-27 09:01:15"
"628","2","2020-04-22","4","2020-10-27 09:01:15","2020-10-27 09:01:15"
"629","3","2020-04-22","0","2020-10-27 09:01:15","2020-10-27 09:01:15"
"630","4","2020-04-22","0","2020-10-27 09:01:15","2020-10-27 09:01:15"
"631","5","2020-04-22","5","2020-10-27 09:01:15","2020-10-27 09:01:15"
"632","6","2020-04-22","0","2020-10-27 09:01:16","2020-10-27 09:01:16"
"633","7","2020-04-22","2","2020-10-27 09:01:16","2020-10-27 09:01:16"
"634","8","2020-04-22","3","2020-10-27 09:01:16","2020-10-27 09:01:16"
"635","9","2020-04-22","1","2020-10-27 09:01:16","2020-10-27 09:01:16"
"636","10","2020-04-22","3","2020-10-27 09:01:16","2020-10-27 09:01:16"
"637","11","2020-04-22","1","2020-10-27 09:01:16","2020-10-27 09:01:16"
"638","0","2020-04-22","19","2020-10-27 09:01:16","2020-10-27 09:01:16"
"639","2","2020-04-23","1","2020-10-27 09:01:16","2020-10-27 09:01:16"
"640","3","2020-04-23","0","2020-10-27 09:01:16","2020-10-27 09:01:16"
"641","4","2020-04-23","0","2020-10-27 09:01:16","2020-10-27 09:01:16"
"642","5","2020-04-23","0","2020-10-27 09:01:16","2020-10-27 09:01:16"
"643","6","2020-04-23","0","2020-10-27 09:01:16","2020-10-27 09:01:16"
"644","7","2020-04-23","0","2020-10-27 09:01:16","2020-10-27 09:01:16"
"645","8","2020-04-23","0","2020-10-27 09:01:16","2020-10-27 09:01:16"
"646","9","2020-04-23","0","2020-10-27 09:01:16","2020-10-27 09:01:16"
"647","10","2020-04-23","2","2020-10-27 09:01:17","2020-10-27 09:01:17"
"648","11","2020-04-23","0","2020-10-27 09:01:17","2020-10-27 09:01:17"
"649","0","2020-04-23","3","2020-10-27 09:01:17","2020-10-27 09:01:17"
"650","2","2020-04-24","0","2020-10-27 09:01:17","2020-10-27 09:01:17"
"651","3","2020-04-24","0","2020-10-27 09:01:17","2020-10-27 09:01:17"
"652","4","2020-04-24","0","2020-10-27 09:01:17","2020-10-27 09:01:17"
"653","5","2020-04-24","1","2020-10-27 09:01:17","2020-10-27 09:01:17"
"654","6","2020-04-24","0","2020-10-27 09:01:17","2020-10-27 09:01:17"
"655","7","2020-04-24","0","2020-10-27 09:01:17","2020-10-27 09:01:17"
"656","8","2020-04-24","6","2020-10-27 09:01:17","2020-10-27 09:01:17"
"657","9","2020-04-24","1","2020-10-27 09:01:17","2020-10-27 09:01:17"
"658","10","2020-04-24","1","2020-10-27 09:01:17","2020-10-27 09:01:17"
"659","11","2020-04-24","3","2020-10-27 09:01:17","2020-10-27 09:01:17"
"660","0","2020-04-24","12","2020-10-27 09:01:17","2020-10-27 09:01:17"
"661","2","2020-04-25","2","2020-10-27 09:01:17","2020-10-27 09:01:17"
"662","3","2020-04-25","0","2020-10-27 09:01:17","2020-10-27 09:01:17"
"663","4","2020-04-25","0","2020-10-27 09:01:18","2020-10-27 09:01:18"
"664","5","2020-04-25","24","2020-10-27 09:01:18","2020-10-27 09:01:18"
"665","6","2020-04-25","0","2020-10-27 09:01:18","2020-10-27 09:01:18"
"666","7","2020-04-25","1","2020-10-27 09:01:18","2020-10-27 09:01:18"
"667","8","2020-04-25","0","2020-10-27 09:01:18","2020-10-27 09:01:18"
"668","9","2020-04-25","0","2020-10-27 09:01:18","2020-10-27 09:01:18"
"669","10","2020-04-25","1","2020-10-27 09:01:18","2020-10-27 09:01:18"
"670","11","2020-04-25","0","2020-10-27 09:01:18","2020-10-27 09:01:18"
"671","0","2020-04-25","28","2020-10-27 09:01:18","2020-10-27 09:01:18"
"672","2","2020-04-26","0","2020-10-27 09:01:18","2020-10-27 09:01:18"
"673","3","2020-04-26","0","2020-10-27 09:01:18","2020-10-27 09:01:18"
"674","4","2020-04-26","0","2020-10-27 09:01:18","2020-10-27 09:01:18"
"675","5","2020-04-26","10","2020-10-27 09:01:18","2020-10-27 09:01:18"
"676","6","2020-04-26","0","2020-10-27 09:01:18","2020-10-27 09:01:18"
"677","7","2020-04-26","0","2020-10-27 09:01:18","2020-10-27 09:01:18"
"678","8","2020-04-26","2","2020-10-27 09:01:18","2020-10-27 09:01:18"
"679","9","2020-04-26","0","2020-10-27 09:01:18","2020-10-27 09:01:18"
"680","10","2020-04-26","0","2020-10-27 09:01:19","2020-10-27 09:01:19"
"681","11","2020-04-26","0","2020-10-27 09:01:19","2020-10-27 09:01:19"
"682","0","2020-04-26","12","2020-10-27 09:01:19","2020-10-27 09:01:19"
"683","2","2020-04-27","1","2020-10-27 09:01:19","2020-10-27 09:01:19"
"684","3","2020-04-27","0","2020-10-27 09:01:19","2020-10-27 09:01:19"
"685","4","2020-04-27","0","2020-10-27 09:01:19","2020-10-27 09:01:19"
"686","5","2020-04-27","11","2020-10-27 09:01:19","2020-10-27 09:01:19"
"687","6","2020-04-27","1","2020-10-27 09:01:19","2020-10-27 09:01:19"
"688","7","2020-04-27","0","2020-10-27 09:01:19","2020-10-27 09:01:19"
"689","8","2020-04-27","0","2020-10-27 09:01:19","2020-10-27 09:01:19"
"690","9","2020-04-27","1","2020-10-27 09:01:19","2020-10-27 09:01:19"
"691","10","2020-04-27","2","2020-10-27 09:01:19","2020-10-27 09:01:19"
"692","11","2020-04-27","0","2020-10-27 09:01:19","2020-10-27 09:01:19"
"693","0","2020-04-27","16","2020-10-27 09:01:19","2020-10-27 09:01:19"
"694","2","2020-04-28","9","2020-10-27 09:01:19","2020-10-27 09:01:19"
"695","3","2020-04-28","0","2020-10-27 09:01:19","2020-10-27 09:01:19"
"696","4","2020-04-28","0","2020-10-27 09:01:20","2020-10-27 09:01:20"
"697","5","2020-04-28","19","2020-10-27 09:01:20","2020-10-27 09:01:20"
"698","6","2020-04-28","0","2020-10-27 09:01:20","2020-10-27 09:01:20"
"699","7","2020-04-28","1","2020-10-27 09:01:20","2020-10-27 09:01:20"
"700","8","2020-04-28","5","2020-10-27 09:01:20","2020-10-27 09:01:20"
"701","9","2020-04-28","0","2020-10-27 09:01:20","2020-10-27 09:01:20"
"702","10","2020-04-28","0","2020-10-27 09:01:20","2020-10-27 09:01:20"
"703","11","2020-04-28","0","2020-10-27 09:01:20","2020-10-27 09:01:20"
"704","0","2020-04-28","34","2020-10-27 09:01:20","2020-10-27 09:01:20"
"705","2","2020-04-29","0","2020-10-27 09:01:20","2020-10-27 09:01:20"
"706","3","2020-04-29","0","2020-10-27 09:01:20","2020-10-27 09:01:20"
"707","4","2020-04-29","0","2020-10-27 09:01:20","2020-10-27 09:01:20"
"708","5","2020-04-29","8","2020-10-27 09:01:20","2020-10-27 09:01:20"
"709","6","2020-04-29","0","2020-10-27 09:01:20","2020-10-27 09:01:20"
"710","7","2020-04-29","0","2020-10-27 09:01:20","2020-10-27 09:01:20"
"711","8","2020-04-29","10","2020-10-27 09:01:21","2020-10-27 09:01:21"
"712","9","2020-04-29","1","2020-10-27 09:01:21","2020-10-27 09:01:21"
"713","10","2020-04-29","3","2020-10-27 09:01:21","2020-10-27 09:01:21"
"714","11","2020-04-29","0","2020-10-27 09:01:21","2020-10-27 09:01:21"
"715","0","2020-04-29","22","2020-10-27 09:01:21","2020-10-27 09:01:21"
"716","2","2020-04-30","0","2020-10-27 09:01:21","2020-10-27 09:01:21"
"717","3","2020-04-30","0","2020-10-27 09:01:21","2020-10-27 09:01:21"
"718","4","2020-04-30","0","2020-10-27 09:01:21","2020-10-27 09:01:21"
"719","5","2020-04-30","1","2020-10-27 09:01:21","2020-10-27 09:01:21"
"720","6","2020-04-30","0","2020-10-27 09:01:21","2020-10-27 09:01:21"
"721","7","2020-04-30","1","2020-10-27 09:01:21","2020-10-27 09:01:21"
"722","8","2020-04-30","3","2020-10-27 09:01:21","2020-10-27 09:01:21"
"723","9","2020-04-30","1","2020-10-27 09:01:21","2020-10-27 09:01:21"
"724","10","2020-04-30","0","2020-10-27 09:01:21","2020-10-27 09:01:21"
"725","11","2020-04-30","0","2020-10-27 09:01:21","2020-10-27 09:01:21"
"726","0","2020-04-30","6","2020-10-27 09:01:21","2020-10-27 09:01:21"
"727","2","2020-05-01","0","2020-10-27 09:01:22","2020-10-27 09:01:22"
"728","3","2020-05-01","0","2020-10-27 09:01:22","2020-10-27 09:01:22"
"729","4","2020-05-01","0","2020-10-27 09:01:22","2020-10-27 09:01:22"
"730","5","2020-05-01","8","2020-10-27 09:01:22","2020-10-27 09:01:22"
"731","6","2020-05-01","0","2020-10-27 09:01:22","2020-10-27 09:01:22"
"732","7","2020-05-01","2","2020-10-27 09:01:22","2020-10-27 09:01:22"
"733","8","2020-05-01","2","2020-10-27 09:01:22","2020-10-27 09:01:22"
"734","9","2020-05-01","1","2020-10-27 09:01:22","2020-10-27 09:01:22"
"735","10","2020-05-01","0","2020-10-27 09:01:22","2020-10-27 09:01:22"
"736","11","2020-05-01","0","2020-10-27 09:01:22","2020-10-27 09:01:22"
