date,canton_id,total
20201001,0,19599
20201002,0,19791
20201003,0,19901
20201004,0,19940
20201005,0,20108
20201006,0,20342
20201007,0,20609
20201008,0,20918
20201009,0,21214
20201010,0,21406
20201011,0,21480
20201012,0,21669
20201013,0,22006
20201014,0,22393
20201015,0,22800
20201016,0,23287
20201017,0,23809
20201018,0,23959
20201019,0,24330
20201020,0,24951
20201021,0,25633
20201022,0,26485
20201023,0,27219
20201024,0,27918
20201025,0,28197
20201026,0,28621
20201027,0,28863
